gpio,timestamp
24,1542823580900.5881
5,1542823581321.3496
24,1542823581601.3623
5,1542823581898.1804
23,1542823581994.0273
5,1542823582125.3235
23,1542823582454.944
22,1542823582476.5935
24,1542823582617.8293
24,1542823582697.6062
23,1542823582833.4087
24,1542823583192.5615
23,1542823583994.0325
22,1542823584199.3613
24,1542823584250.56
23,1542823584278.7844
24,1542823584911.1982
23,1542823584916.3286
22,1542823585110.3806
24,1542823585186.2725
5,1542823585414.6982
5,1542823585639.3875
24,1542823585789.555
5,1542823585789.5498
23,1542823585824.2341
24,1542823586274.3257
22,1542823586298.8997
23,1542823586326.528
23,1542823586862.7898
5,1542823587032.0352
22,1542823587099.3354
23,1542823588828.12
24,1542823589000.8914
23,1542823589440.8945
5,1542823589457.1807
5,1542823589569.2034
24,1542823590460.3975
5,1542823590581.6628
23,1542823590837.2678
5,1542823591062.2021
22,1542823591399.441
23,1542823592069.107
23,1542823592369.5825
23,1542823592494.1504
23,1542823593045.2905
22,1542823593694.0796
5,1542823594247.8796
22,1542823594685.4834
23,1542823595160.068
22,1542823595987.2988
5,1542823596572.7444
24,1542823596891.1536
23,1542823596984.6743
24,1542823597101.1108
23,1542823597265.8484
24,1542823597315.4062
24,1542823597330.1528
24,1542823597448.299
22,1542823597723.5618
23,1542823597813.7676
5,1542823597954.9365
23,1542823598076.4465
23,1542823598192.3108
23,1542823598299.0388
22,1542823598312.1287
23,1542823598398.4417
24,1542823598606.6746
23,1542823598629.3152
22,1542823598639.4001
24,1542823599099.4053
23,1542823599705.1567
22,1542823599748.4841
5,1542823599878.8098
5,1542823599990.1018
24,1542823600323.1648
23,1542823600336.0623
22,1542823600604.891
22,1542823601108.5264
22,1542823602197.732
23,1542823602258.6099
23,1542823602371.5642
23,1542823602595.0793
23,1542823602989.9592
5,1542823603002.9397
24,1542823603302.1
23,1542823603364.7175
22,1542823603760.6338
22,1542823603795.991
22,1542823603825.849
23,1542823604262.7139
23,1542823604585.6343
23,1542823605674.757
22,1542823607228.9807
5,1542823607772.642
5,1542823607984.513
22,1542823608610.0088
23,1542823608619.185
22,1542823609622.2473
22,1542823609850.5916
22,1542823610062.5325
22,1542823610273.7886
23,1542823610331.988
24,1542823610837.1848
24,1542823611001.1729
24,1542823611265.0059
24,1542823611283.0408
23,1542823611603.7148
24,1542823611832.5066
24,1542823612137.1367
23,1542823612358.4824
5,1542823612796.2463
24,1542823613053.6504
22,1542823613486.12
22,1542823613508.6394
24,1542823613605.1094
5,1542823613779.0156
24,1542823613983.146
5,1542823614068.2917
5,1542823614317.97
22,1542823614577.2832
5,1542823614717.2292
24,1542823614831.244
23,1542823614838.9087
23,1542823614862.037
22,1542823615042.5771
5,1542823615216.5278
24,1542823615289.698
5,1542823615399.2087
5,1542823615538.0005
24,1542823615801.333
5,1542823615855.0708
24,1542823616149.3508
5,1542823616155.6628
5,1542823616471.0718
5,1542823616647.7014
23,1542823616756.1946
22,1542823616896.5151
5,1542823617554.2522
23,1542823617592.0647
5,1542823617687.7856
22,1542823617813.5527
24,1542823618064.3533
24,1542823618189.0852
5,1542823618286.9448
23,1542823618913.1501
23,1542823619123.6633
22,1542823619128.8884
24,1542823619320.6704
23,1542823619323.7678
24,1542823619335.553
23,1542823619442.7744
23,1542823619784.7104
24,1542823620476.8457
24,1542823620502.2734
23,1542823620529.1255
23,1542823621274.1323
5,1542823621800.2812
22,1542823623235.596
22,1542823623776.629
5,1542823624116.794
22,1542823624200.02
24,1542823624269.016
5,1542823624449.4966
5,1542823624687.3643
24,1542823624740.0056
5,1542823625209.6707
23,1542823625348.1313
23,1542823625620.838
24,1542823625773.228
5,1542823625932.5889
5,1542823626005.3997
22,1542823626033.1707
5,1542823626044.096
5,1542823626284.2039
5,1542823626317.9646
23,1542823626492.0347
22,1542823626581.0676
24,1542823626714.4722
23,1542823627210.4065
23,1542823627214.8176
24,1542823627418.5874
5,1542823628464.3242
5,1542823628527.7434
24,1542823628606.251
5,1542823628666.2085
23,1542823628932.6587
23,1542823629169.211
23,1542823629618.6936
23,1542823630090.9045
24,1542823630233.8237
5,1542823630235.082
5,1542823630247.9746
23,1542823631164.4648
23,1542823631336.9314
22,1542823631643.2466
24,1542823631764.033
5,1542823631830.174
5,1542823632617.814
24,1542823632718.9585
5,1542823633867.6672
24,1542823633992.82
24,1542823634021.4841
24,1542823634073.6577
22,1542823634095.3704
24,1542823634687.0293
23,1542823635610.7349
5,1542823635901.5073
5,1542823636077.3745
22,1542823636122.025
24,1542823636619.7544
22,1542823636714.281
23,1542823637170.4304
5,1542823637253.9111
23,1542823638645.0742
22,1542823638669.2449
22,1542823638841.3994
23,1542823638894.2024
24,1542823639107.1875
22,1542823640087.639
5,1542823640121.2107
22,1542823640278.0674
5,1542823640638.336
23,1542823640886.2515
5,1542823641185.3806
24,1542823641271.9504
24,1542823641530.1558
24,1542823641947.6484
24,1542823641960.39
23,1542823642329.0881
23,1542823642594.8706
22,1542823642986.9219
23,1542823643041.2202
24,1542823643251.7925
23,1542823643488.9148
23,1542823643815.605
5,1542823643990.394
22,1542823643990.3982
24,1542823644084.1055
24,1542823644142.5527
23,1542823644146.878
22,1542823644168.1992
23,1542823644213.11
23,1542823644702.66
24,1542823644836.1934
5,1542823644995.8171
23,1542823645380.2449
22,1542823645401.9968
24,1542823645716.8523
5,1542823645768.0276
22,1542823646319.2898
23,1542823646351.6191
24,1542823646360.0798
23,1542823646403.0627
22,1542823646618.9478
22,1542823647697.8064
23,1542823647929.6245
23,1542823648041.0847
24,1542823648213.775
24,1542823648622.557
5,1542823649118.1074
22,1542823649135.2837
22,1542823649212.826
23,1542823649288.1506
24,1542823650002.2175
5,1542823650512.7773
23,1542823651328.1353
22,1542823651429.8687
22,1542823651532.4556
22,1542823651667.9702
22,1542823652006.3833
24,1542823652504.23
23,1542823653692.5564
23,1542823653954.6611
22,1542823654213.269
22,1542823654821.2744
23,1542823655571.088
22,1542823655869.0671
22,1542823656592.0188
23,1542823657076.9907
