gpio,timestamp
23,1542644456895.535
23,1542644457069.235
24,1542644457202.976
23,1542644457250.622
24,1542644457404.3384
22,1542644457521.4917
24,1542644458024.2495
24,1542644458306.793
23,1542644458464.1997
23,1542644459031.1416
22,1542644459256.2805
22,1542644459589.8333
22,1542644459590.5164
22,1542644459871.6296
24,1542644460873.974
23,1542644461159.4275
23,1542644461482.235
23,1542644462340.2205
24,1542644462827.6711
23,1542644463058.2515
22,1542644463749.6226
22,1542644463766.7517
24,1542644463902.1387
23,1542644463984.273
23,1542644464504.1619
23,1542644464729.62
24,1542644464846.8477
24,1542644464858.9521
23,1542644464888.8027
24,1542644465135.438
23,1542644465573.1423
23,1542644465992.043
24,1542644466063.9517
22,1542644466362.887
24,1542644466375.697
24,1542644466637.8633
23,1542644466758.7634
23,1542644467420.0972
23,1542644467422.2546
22,1542644467764.3652
23,1542644467990.193
23,1542644468405.3186
23,1542644468611.0918
22,1542644469405.893
23,1542644470614.8733
24,1542644470797.689
22,1542644471105.8904
22,1542644471122.2827
22,1542644472174.4946
24,1542644472241.4858
23,1542644472735.853
22,1542644473043.9944
23,1542644473177.4526
24,1542644473853.9194
24,1542644475026.5835
24,1542644475198.8994
24,1542644475425.1719
22,1542644475494.166
23,1542644475752.889
22,1542644475810.8193
23,1542644475894.7615
22,1542644476878.6143
24,1542644477309.1318
24,1542644477659.932
22,1542644478684.812
24,1542644479402.2302
23,1542644479555.2903
24,1542644479674.671
22,1542644480193.3943
23,1542644480539.1707
23,1542644480865.7927
24,1542644480967.3079
24,1542644481599.3618
22,1542644481816.7927
23,1542644482311.781
23,1542644482532.9404
24,1542644482699.9143
23,1542644482757.498
22,1542644482767.5884
22,1542644482820.0688
24,1542644483160.4565
24,1542644483260.814
24,1542644483280.4094
23,1542644483753.1243
23,1542644483912.289
24,1542644483941.2246
24,1542644484132.4092
24,1542644484261.3926
24,1542644485019.1182
22,1542644485440.1846
22,1542644485625.196
22,1542644486159.3782
23,1542644486857.9355
23,1542644487061.9692
24,1542644487129.2097
24,1542644487140.5022
23,1542644487476.7654
22,1542644487544.7705
23,1542644487604.8923
22,1542644487702.94
22,1542644488593.3196
23,1542644488781.191
24,1542644490048.1528
24,1542644490494.2788
23,1542644491584.622
22,1542644491664.9077
23,1542644491833.8862
24,1542644491912.048
22,1542644491985.5425
22,1542644492675.7764
23,1542644492928.0942
24,1542644493086.459
23,1542644493345.1948
23,1542644494412.4138
22,1542644494544.382
23,1542644494834.1284
22,1542644495263.1887
24,1542644496271.6104
24,1542644496942.3562
22,1542644497086.8015
22,1542644497672.478
